INSEE_CO;CP;SUPERFICIE;POPULATION;prob;severite;type_evt;survenance;csq;date_bulletin;Heure_d�p�t;date_prevision;Type 
11198;11800;4054;1061;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11296;11120;1023;498;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11041;11120;2099;1086;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11370;11110;1831;2983;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34097;34210;3021;449;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09266;09500;625;61;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66047;66360;656;14;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09139;09390;2682;92;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11380;11230;1374;160;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11126;11200;1039;393;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09232;09110;2922;45;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11268;11270;1033;93;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34004;34210;1211;217;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11009;11170;2229;1378;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11018;11290;2189;1156;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66218;66760;676;358;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09032;09110;3016;1348;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09106;09300;701;367;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11418;11150;3425;1221;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66132;66340;1139;460;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66064;66120;437;445;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11422;11800;324;333;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11141;11240;613;103;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09260;09500;247;26;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09233;09600;352;40;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11049;11150;1784;3368;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11172;11200;310;654;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09305;09600;288;351;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11173;11240;795;139;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11040;11200;3758;1388;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11171;11230;505;41;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34183;34440;3027;3779;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66146;66760;6558;140;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09283;09110;2815;426;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11438;11150;564;365;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11037;11000;268;883;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34075;34210;1497;369;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09229;09600;623;481;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66130;66340;1707;1468;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11193;11270;437;241;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11262;11100;17494;51546;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09193;09460;3976;89;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11022;11700;2438;1196;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34026;34210;607;199;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66095;66760;1291;410;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11343;11270;1147;79;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11255;11100;1737;1377;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
